formula,A,B1,B2,X,tolerance_factor,Eg,irA,rsA,rpA,rdA,XcA,eaA,ipA,hoalA,lualA,irB1,rsB1,rpB1,rdB1,XcB1,eaB1,ipB1,hoalB1,lualB1,irB2,rsB2,rpB2,rdB2,XcB2,eaB2,ipB2,hoalB2,lualB2,irX,rsX,rpX,rdX,XcX,eaX,ipX,hoalX,lualX
Cs2AlAgCl6,Cs,Ag,Al,Cl,0.960156034,2.236636,1.88,0.922,2.518,0,0.79,45.5,3.8939,12,13,1.28,1.286,0.462,0.536,1.93,125.6,7.5762,10,11,0.535,1.044,1.312,0,1.61,42.5,28.44765,5,6,1.81,0.66,0.725,0,3.16,349,12.96764,6,5
Cs2AlAgBr6,Cs,Ag,Al,Br,0.946918933,1.210029,1.88,0.922,2.518,0,0.79,45.5,3.8939,12,13,1.28,1.286,0.462,0.536,1.93,125.6,7.5762,10,11,0.535,1.044,1.312,0,1.61,42.5,28.44765,5,6,1.96,0.73,0.851,0.224,2.96,324.6,11.81381,9,8
Cs2AsAgCl6,Cs,Ag,As,Cl,0.952271541,1.254947,1.88,0.922,2.518,0,0.79,45.5,3.8939,12,13,1.28,1.286,0.462,0.536,1.93,125.6,7.5762,10,11,0.58,0.826,1.001,0.247,2.18,78,28.351,8,9,1.81,0.66,0.725,0,3.16,349,12.96764,6,5
Cs2AsAgBr6,Cs,Ag,As,Br,0.939546727,0.762618,1.88,0.922,2.518,0,0.79,45.5,3.8939,12,13,1.28,1.286,0.462,0.536,1.93,125.6,7.5762,10,11,0.58,0.826,1.001,0.247,2.18,78,28.351,8,9,1.96,0.73,0.851,0.224,2.96,324.6,11.81381,9,8
Cs2AgBiCl6,Cs,Ag,Bi,Cl,1.064989397,1.802331,1.88,0.922,2.518,0,0.79,45.5,3.8939,12,13,1.28,1.286,0.462,0.536,1.93,125.6,7.5762,10,11,0,0.963,1.295,0.542,2.02,91.2,25.559,15,16,1.81,0.66,0.725,0,3.16,349,12.96764,6,5
Cs2AgBiI6,Cs,Ag,Bi,I,1.015843545,0.80201,1.88,0.922,2.518,0,0.79,45.5,3.8939,12,13,1.28,1.286,0.462,0.536,1.93,125.6,7.5762,10,11,0,0.963,1.295,0.542,2.02,91.2,25.559,15,16,2.2,0.876,1.044,0.406,2.66,295.2,10.45126,12,11
Cs2AgBiBr6,Cs,Ag,Bi,Br,1.044342323,1.291934,1.88,0.922,2.518,0,0.79,45.5,3.8939,12,13,1.28,1.286,0.462,0.536,1.93,125.6,7.5762,10,11,0,0.963,1.295,0.542,2.02,91.2,25.559,15,16,1.96,0.73,0.851,0.224,2.96,324.6,11.81381,9,8
Cs2GaAgCl6,Cs,Ag,Ga,Cl,0.945371023,0.989034,1.88,0.922,2.518,0,0.79,45.5,3.8939,12,13,1.28,1.286,0.462,0.536,1.93,125.6,7.5762,10,11,0.62,0.96,0.298,0.276,1.81,28.9,30.71,8,9,1.81,0.66,0.725,0,3.16,349,12.96764,6,5
Cs2AgInCl6,Cs,Ag,In,Cl,0.915517201,1.010681,1.88,0.922,2.518,0,0.79,45.5,3.8939,12,13,1.28,1.286,0.462,0.536,1.93,125.6,7.5762,10,11,0.8,1.093,1.382,0.483,1.78,28.9,28.03,11,12,1.81,0.66,0.725,0,3.16,349,12.96764,6,5
Cs2PAgCl6,Cs,Ag,P,Cl,0.977237462,0.909918,1.88,0.922,2.518,0,0.79,45.5,3.8939,12,13,1.28,1.286,0.462,0.536,1.93,125.6,7.5762,10,11,0.44,0.803,0.919,0,2.19,71,30.2027,5,6,1.81,0.66,0.725,0,3.16,349,12.96764,6,5
Cs2PAgBr6,Cs,Ag,P,Br,0.962868808,0.472631,1.88,0.922,2.518,0,0.79,45.5,3.8939,12,13,1.28,1.286,0.462,0.536,1.93,125.6,7.5762,10,11,0.44,0.803,0.919,0,2.19,71,30.2027,5,6,1.96,0.73,0.851,0.224,2.96,324.6,11.81381,9,8
Cs2AgSbCl6,Cs,Ag,Sb,Cl,0.921987287,1.334388,1.88,0.922,2.518,0,0.79,45.5,3.8939,12,13,1.28,1.286,0.462,0.536,1.93,125.6,7.5762,10,11,0.76,0.969,1.193,0.44,2.05,103.2,25.3,11,12,1.81,0.66,0.725,0,3.16,349,12.96764,6,5
Cs2AgSbBr6,Cs,Ag,Sb,Br,0.911171154,0.827518,1.88,0.922,2.518,0,0.79,45.5,3.8939,12,13,1.28,1.286,0.462,0.536,1.93,125.6,7.5762,10,11,0.76,0.969,1.193,0.44,2.05,103.2,25.3,11,12,1.96,0.73,0.851,0.224,2.96,324.6,11.81381,9,8
Cs2ScAgCl6,Cs,Ag,Sc,Cl,0.924437209,3.239524,1.88,0.922,2.518,0,0.79,45.5,3.8939,12,13,1.28,1.286,0.462,0.536,1.93,125.6,7.5762,10,11,0.745,1.57,0.5,0.539,1.36,18.1,24.75666,7,8,1.81,0.66,0.725,0,3.16,349,12.96764,6,5
Cs2ScAgI6,Cs,Ag,Sc,I,0.898053126,2.040435,1.88,0.922,2.518,0,0.79,45.5,3.8939,12,13,1.28,1.286,0.462,0.536,1.93,125.6,7.5762,10,11,0.745,1.57,0.5,0.539,1.36,18.1,24.75666,7,8,2.2,0.876,1.044,0.406,2.66,295.2,10.45126,12,11
Cs2ScAgBr6,Cs,Ag,Sc,Br,0.913470156,2.72144,1.88,0.922,2.518,0,0.79,45.5,3.8939,12,13,1.28,1.286,0.462,0.536,1.93,125.6,7.5762,10,11,0.745,1.57,0.5,0.539,1.36,18.1,24.75666,7,8,1.96,0.73,0.851,0.224,2.96,324.6,11.81381,9,8
Cs2YAgCl6,Cs,Ag,Y,Cl,0.899732422,3.758064,1.88,0.922,2.518,0,0.79,45.5,3.8939,12,13,1.28,1.286,0.462,0.536,1.93,125.6,7.5762,10,11,0.9,1.693,0.646,0.865,1.22,29.6,20.52,10,11,1.81,0.66,0.725,0,3.16,349,12.96764,6,5
Cs2YAgI6,Cs,Ag,Y,I,0.876898379,2.512309,1.88,0.922,2.518,0,0.79,45.5,3.8939,12,13,1.28,1.286,0.462,0.536,1.93,125.6,7.5762,10,11,0.9,1.693,0.646,0.865,1.22,29.6,20.52,10,11,2.2,0.876,1.044,0.406,2.66,295.2,10.45126,12,11
Cs2YAgBr6,Cs,Ag,Y,Br,0.890259029,3.215399,1.88,0.922,2.518,0,0.79,45.5,3.8939,12,13,1.28,1.286,0.462,0.536,1.93,125.6,7.5762,10,11,0.9,1.693,0.646,0.865,1.22,29.6,20.52,10,11,1.96,0.73,0.851,0.224,2.96,324.6,11.81381,9,8
Cs2AuBiCl6,Cs,Au,Bi,Cl,1.045781171,0.616081,1.88,0.922,2.518,0,0.79,45.5,3.8939,12,13,1.37,1.187,0.51,0.634,2.54,222.8,9.2255,14,15,0,0.963,1.295,0.542,2.02,91.2,25.559,15,16,1.81,0.66,0.725,0,3.16,349,12.96764,6,5
Cs2ScAuCl6,Cs,Au,Sc,Cl,0.909929912,1.870166,1.88,0.922,2.518,0,0.79,45.5,3.8939,12,13,1.37,1.187,0.51,0.634,2.54,222.8,9.2255,14,15,0.745,1.57,0.5,0.539,1.36,18.1,24.75666,7,8,1.81,0.66,0.725,0,3.16,349,12.96764,6,5
Cs2ScAuI6,Cs,Au,Sc,I,0.885647173,1.059449,1.88,0.922,2.518,0,0.79,45.5,3.8939,12,13,1.37,1.187,0.51,0.634,2.54,222.8,9.2255,14,15,0.745,1.57,0.5,0.539,1.36,18.1,24.75666,7,8,2.2,0.876,1.044,0.406,2.66,295.2,10.45126,12,11
Cs2ScAuBr6,Cs,Au,Sc,Br,0.899847569,1.559538,1.88,0.922,2.518,0,0.79,45.5,3.8939,12,13,1.37,1.187,0.51,0.634,2.54,222.8,9.2255,14,15,0.745,1.57,0.5,0.539,1.36,18.1,24.75666,7,8,1.96,0.73,0.851,0.224,2.96,324.6,11.81381,9,8
Cs2YAuCl6,Cs,Au,Y,Cl,0.885984388,2.114347,1.88,0.922,2.518,0,0.79,45.5,3.8939,12,13,1.37,1.187,0.51,0.634,2.54,222.8,9.2255,14,15,0.9,1.693,0.646,0.865,1.22,29.6,20.52,10,11,1.81,0.66,0.725,0,3.16,349,12.96764,6,5
Cs2YAuI6,Cs,Au,Y,I,0.865066167,1.176587,1.88,0.922,2.518,0,0.79,45.5,3.8939,12,13,1.37,1.187,0.51,0.634,2.54,222.8,9.2255,14,15,0.9,1.693,0.646,0.865,1.22,29.6,20.52,10,11,2.2,0.876,1.044,0.406,2.66,295.2,10.45126,12,11
Cs2YAuBr6,Cs,Au,Y,Br,0.877315037,1.70308,1.88,0.922,2.518,0,0.79,45.5,3.8939,12,13,1.37,1.187,0.51,0.634,2.54,222.8,9.2255,14,15,0.9,1.693,0.646,0.865,1.22,29.6,20.52,10,11,1.96,0.73,0.851,0.224,2.96,324.6,11.81381,9,8
Cs2CaRuCl6,Cs,Ca,Ru,Cl,0.925256746,0.952437,1.88,0.922,2.518,0,0.79,45.5,3.8939,12,13,1.34,1.69,0.539,0,1,2.37,6.11316,6,7,0.68,1.41,0.515,0.622,2.2,101.3,28.47,10,11,1.81,0.66,0.725,0,3.16,349,12.96764,6,5
Cs2CaRuBr6,Cs,Ca,Ru,Br,0.914239071,0.667901,1.88,0.922,2.518,0,0.79,45.5,3.8939,12,13,1.34,1.69,0.539,0,1,2.37,6.11316,6,7,0.68,1.41,0.515,0.622,2.2,101.3,28.47,10,11,1.96,0.73,0.851,0.224,2.96,324.6,11.81381,9,8
Cs2AlCuCl6,Cs,Cu,Al,Cl,1.059583359,0.641622,1.88,0.922,2.518,0,0.79,45.5,3.8939,12,13,0.77,1.191,0.325,0.312,1.9,118.4,7.72638,7,8,0.535,1.044,1.312,0,1.61,42.5,28.44765,5,6,1.81,0.66,0.725,0,3.16,349,12.96764,6,5
Cs2CuAsCl6,Cs,Cu,As,Cl,1.049989546,0.54283,1.88,0.922,2.518,0,0.79,45.5,3.8939,12,13,0.77,1.191,0.325,0.312,1.9,118.4,7.72638,7,8,0.58,0.826,1.001,0.247,2.18,78,28.351,8,9,1.81,0.66,0.725,0,3.16,349,12.96764,6,5
Cs2CuBiCl6,Cs,Cu,Bi,Cl,1.188712539,0.923001,1.88,0.922,2.518,0,0.79,45.5,3.8939,12,13,0.77,1.191,0.325,0.312,1.9,118.4,7.72638,7,8,0,0.963,1.295,0.542,2.02,91.2,25.559,15,16,1.81,0.66,0.725,0,3.16,349,12.96764,6,5
Cs2CuBiBr6,Cs,Cu,Bi,Br,1.1579062,0.625517,1.88,0.922,2.518,0,0.79,45.5,3.8939,12,13,0.77,1.191,0.325,0.312,1.9,118.4,7.72638,7,8,0,0.963,1.295,0.542,2.02,91.2,25.559,15,16,1.96,0.73,0.851,0.224,2.96,324.6,11.81381,9,8
Cs2CuSbCl6,Cs,Cu,Sb,Cl,1.013290883,0.656349,1.88,0.922,2.518,0,0.79,45.5,3.8939,12,13,0.77,1.191,0.325,0.312,1.9,118.4,7.72638,7,8,0.76,0.969,1.193,0.44,2.05,103.2,25.3,11,12,1.81,0.66,0.725,0,3.16,349,12.96764,6,5
Cs2ScCuCl6,Cs,Cu,Sc,Cl,1.016250836,1.833585,1.88,0.922,2.518,0,0.79,45.5,3.8939,12,13,0.77,1.191,0.325,0.312,1.9,118.4,7.72638,7,8,0.745,1.57,0.5,0.539,1.36,18.1,24.75666,7,8,1.81,0.66,0.725,0,3.16,349,12.96764,6,5
Cs2ScCuI6,Cs,Cu,Sc,I,0.975484587,1.464804,1.88,0.922,2.518,0,0.79,45.5,3.8939,12,13,0.77,1.191,0.325,0.312,1.9,118.4,7.72638,7,8,0.745,1.57,0.5,0.539,1.36,18.1,24.75666,7,8,2.2,0.876,1.044,0.406,2.66,295.2,10.45126,12,11
Cs2ScCuBr6,Cs,Cu,Sc,Br,0.999186767,1.687355,1.88,0.922,2.518,0,0.79,45.5,3.8939,12,13,0.77,1.191,0.325,0.312,1.9,118.4,7.72638,7,8,0.745,1.57,0.5,0.539,1.36,18.1,24.75666,7,8,1.96,0.73,0.851,0.224,2.96,324.6,11.81381,9,8
Cs2CuYCl6,Cs,Cu,Y,Cl,0.986474111,2.465706,1.88,0.922,2.518,0,0.79,45.5,3.8939,12,13,0.77,1.191,0.325,0.312,1.9,118.4,7.72638,7,8,0.9,1.693,0.646,0.865,1.22,29.6,20.52,10,11,1.81,0.66,0.725,0,3.16,349,12.96764,6,5
Cs2CuYI6,Cs,Cu,Y,I,0.950575179,1.756031,1.88,0.922,2.518,0,0.79,45.5,3.8939,12,13,0.77,1.191,0.325,0.312,1.9,118.4,7.72638,7,8,0.9,1.693,0.646,0.865,1.22,29.6,20.52,10,11,2.2,0.876,1.044,0.406,2.66,295.2,10.45126,12,11
Cs2CuYBr6,Cs,Cu,Y,Br,0.971481231,2.144473,1.88,0.922,2.518,0,0.79,45.5,3.8939,12,13,0.77,1.191,0.325,0.312,1.9,118.4,7.72638,7,8,0.9,1.693,0.646,0.865,1.22,29.6,20.52,10,11,1.96,0.73,0.851,0.224,2.96,324.6,11.81381,9,8
Cs2AlCuCl6,Cs,Cu,Al,Cl,1.068259579,0.641622,1.88,0.922,2.518,0,0.79,45.5,3.8939,12,13,0.73,1.191,0.325,0.312,1.9,118.4,7.72638,7,8,0.535,1.044,1.312,0,1.61,42.5,28.44765,5,6,1.81,0.66,0.725,0,3.16,349,12.96764,6,5
Cs2CuAsCl6,Cs,Cu,As,Cl,1.058508731,0.54283,1.88,0.922,2.518,0,0.79,45.5,3.8939,12,13,0.73,1.191,0.325,0.312,1.9,118.4,7.72638,7,8,0.58,0.826,1.001,0.247,2.18,78,28.351,8,9,1.81,0.66,0.725,0,3.16,349,12.96764,6,5
Cs2CuBiCl6,Cs,Cu,Bi,Cl,1.199643229,0.923001,1.88,0.922,2.518,0,0.79,45.5,3.8939,12,13,0.73,1.191,0.325,0.312,1.9,118.4,7.72638,7,8,0,0.963,1.295,0.542,2.02,91.2,25.559,15,16,1.81,0.66,0.725,0,3.16,349,12.96764,6,5
Cs2CuBiBr6,Cs,Cu,Bi,Br,1.167866684,0.625517,1.88,0.922,2.518,0,0.79,45.5,3.8939,12,13,0.73,1.191,0.325,0.312,1.9,118.4,7.72638,7,8,0,0.963,1.295,0.542,2.02,91.2,25.559,15,16,1.96,0.73,0.851,0.224,2.96,324.6,11.81381,9,8
Cs2CuSbCl6,Cs,Cu,Sb,Cl,1.021222709,0.656349,1.88,0.922,2.518,0,0.79,45.5,3.8939,12,13,0.73,1.191,0.325,0.312,1.9,118.4,7.72638,7,8,0.76,0.969,1.193,0.44,2.05,103.2,25.3,11,12,1.81,0.66,0.725,0,3.16,349,12.96764,6,5
Cs2ScCuCl6,Cs,Cu,Sc,Cl,1.024229253,1.833585,1.88,0.922,2.518,0,0.79,45.5,3.8939,12,13,0.73,1.191,0.325,0.312,1.9,118.4,7.72638,7,8,0.745,1.57,0.5,0.539,1.36,18.1,24.75666,7,8,1.81,0.66,0.725,0,3.16,349,12.96764,6,5
Cs2ScCuI6,Cs,Cu,Sc,I,0.982126185,1.464804,1.88,0.922,2.518,0,0.79,45.5,3.8939,12,13,0.73,1.191,0.325,0.312,1.9,118.4,7.72638,7,8,0.745,1.57,0.5,0.539,1.36,18.1,24.75666,7,8,2.2,0.876,1.044,0.406,2.66,295.2,10.45126,12,11
Cs2ScCuBr6,Cs,Cu,Sc,Br,1.00659501,1.687355,1.88,0.922,2.518,0,0.79,45.5,3.8939,12,13,0.73,1.191,0.325,0.312,1.9,118.4,7.72638,7,8,0.745,1.57,0.5,0.539,1.36,18.1,24.75666,7,8,1.96,0.73,0.851,0.224,2.96,324.6,11.81381,9,8
Cs2CuYCl6,Cs,Cu,Y,Cl,0.993990104,2.465706,1.88,0.922,2.518,0,0.79,45.5,3.8939,12,13,0.73,1.191,0.325,0.312,1.9,118.4,7.72638,7,8,0.9,1.693,0.646,0.865,1.22,29.6,20.52,10,11,1.81,0.66,0.725,0,3.16,349,12.96764,6,5
Cs2CuYI6,Cs,Cu,Y,I,0.956880818,1.756031,1.88,0.922,2.518,0,0.79,45.5,3.8939,12,13,0.73,1.191,0.325,0.312,1.9,118.4,7.72638,7,8,0.9,1.693,0.646,0.865,1.22,29.6,20.52,10,11,2.2,0.876,1.044,0.406,2.66,295.2,10.45126,12,11
Cs2CuYBr6,Cs,Cu,Y,Br,0.978482897,2.144473,1.88,0.922,2.518,0,0.79,45.5,3.8939,12,13,0.73,1.191,0.325,0.312,1.9,118.4,7.72638,7,8,0.9,1.693,0.646,0.865,1.22,29.6,20.52,10,11,1.96,0.73,0.851,0.224,2.96,324.6,11.81381,9,8
Cs2AlTlCl6,Cs,Tl,Al,Cl,0.87046673,3.742092,1.88,0.922,2.518,0,0.79,45.5,3.8939,12,13,1.84,1.06,1.319,0.584,1.62,9.2,6.1082,15,16,0.535,1.044,1.312,0,1.61,42.5,28.44765,5,6,1.81,0.66,0.725,0,3.16,349,12.96764,6,5
Cs2AlTlI6,Cs,Tl,Al,I,0.851659238,1.525695,1.88,0.922,2.518,0,0.79,45.5,3.8939,12,13,1.84,1.06,1.319,0.584,1.62,9.2,6.1082,15,16,0.535,1.044,1.312,0,1.61,42.5,28.44765,5,6,2.2,0.876,1.044,0.406,2.66,295.2,10.45126,12,11
Cs2AlTlBr6,Cs,Tl,Al,Br,0.862681506,2.665001,1.88,0.922,2.518,0,0.79,45.5,3.8939,12,13,1.84,1.06,1.319,0.584,1.62,9.2,6.1082,15,16,0.535,1.044,1.312,0,1.61,42.5,28.44765,5,6,1.96,0.73,0.851,0.224,2.96,324.6,11.81381,9,8
Cs2AsTlCl6,Cs,Tl,As,Cl,0.863981464,1.466505,1.88,0.922,2.518,0,0.79,45.5,3.8939,12,13,1.84,1.06,1.319,0.584,1.62,9.2,6.1082,15,16,0.58,0.826,1.001,0.247,2.18,78,28.351,8,9,1.81,0.66,0.725,0,3.16,349,12.96764,6,5
Cs2AsTlI6,Cs,Tl,As,I,0.846039785,0.818272,1.88,0.922,2.518,0,0.79,45.5,3.8939,12,13,1.84,1.06,1.319,0.584,1.62,9.2,6.1082,15,16,0.58,0.826,1.001,0.247,2.18,78,28.351,8,9,2.2,0.876,1.044,0.406,2.66,295.2,10.45126,12,11
Cs2AsTlBr6,Cs,Tl,As,Br,0.856558372,0.974912,1.88,0.922,2.518,0,0.79,45.5,3.8939,12,13,1.84,1.06,1.319,0.584,1.62,9.2,6.1082,15,16,0.58,0.826,1.001,0.247,2.18,78,28.351,8,9,1.96,0.73,0.851,0.224,2.96,324.6,11.81381,9,8
Cs2TlBiCl6,Cs,Tl,Bi,Cl,0.955759715,1.947616,1.88,0.922,2.518,0,0.79,45.5,3.8939,12,13,1.84,1.06,1.319,0.584,1.62,9.2,6.1082,15,16,0,0.963,1.295,0.542,2.02,91.2,25.559,15,16,1.81,0.66,0.725,0,3.16,349,12.96764,6,5
Cs2TlBiI6,Cs,Tl,Bi,I,0.924678098,1.19652,1.88,0.922,2.518,0,0.79,45.5,3.8939,12,13,1.84,1.06,1.319,0.584,1.62,9.2,6.1082,15,16,0,0.963,1.295,0.542,2.02,91.2,25.559,15,16,2.2,0.876,1.044,0.406,2.66,295.2,10.45126,12,11
Cs2TlBiBr6,Cs,Tl,Bi,Br,0.942809042,1.412008,1.88,0.922,2.518,0,0.79,45.5,3.8939,12,13,1.84,1.06,1.319,0.584,1.62,9.2,6.1082,15,16,0,0.963,1.295,0.542,2.02,91.2,25.559,15,16,1.96,0.73,0.851,0.224,2.96,324.6,11.81381,9,8
Cs2CoTlCl6,Cs,Tl,Co,Cl,0.86901716,0.860913,1.88,0.922,2.518,0,0.79,45.5,3.8939,12,13,1.84,1.06,1.319,0.584,1.62,9.2,6.1082,15,16,0.545,1.181,0.355,0,1.88,118.4,33.5,7,8,1.81,0.66,0.725,0,3.16,349,12.96764,6,5
Cs2CoTlI6,Cs,Tl,Co,I,0.850404029,0.65346,1.88,0.922,2.518,0,0.79,45.5,3.8939,12,13,1.84,1.06,1.319,0.584,1.62,9.2,6.1082,15,16,0.545,1.181,0.355,0,1.88,118.4,33.5,7,8,2.2,0.876,1.044,0.406,2.66,295.2,10.45126,12,11
Cs2CoTlBr6,Cs,Tl,Co,Br,0.861313256,0.706823,1.88,0.922,2.518,0,0.79,45.5,3.8939,12,13,1.84,1.06,1.319,0.584,1.62,9.2,6.1082,15,16,0.545,1.181,0.355,0,1.88,118.4,33.5,7,8,1.96,0.73,0.851,0.224,2.96,324.6,11.81381,9,8
Cs2GaTlCl6,Cs,Tl,Ga,Cl,0.858297376,2.360962,1.88,0.922,2.518,0,0.79,45.5,3.8939,12,13,1.84,1.06,1.319,0.584,1.62,9.2,6.1082,15,16,0.62,0.96,0.298,0.276,1.81,28.9,30.71,8,9,1.81,0.66,0.725,0,3.16,349,12.96764,6,5
Cs2GaTlBr6,Cs,Tl,Ga,Br,0.8511881,1.376078,1.88,0.922,2.518,0,0.79,45.5,3.8939,12,13,1.84,1.06,1.319,0.584,1.62,9.2,6.1082,15,16,0.62,0.96,0.298,0.276,1.81,28.9,30.71,8,9,1.96,0.73,0.851,0.224,2.96,324.6,11.81381,9,8
Cs2InTlCl6,Cs,Tl,In,Cl,0.833617899,2.330854,1.88,0.922,2.518,0,0.79,45.5,3.8939,12,13,1.84,1.06,1.319,0.584,1.62,9.2,6.1082,15,16,0.8,1.093,1.382,0.483,1.78,28.9,28.03,11,12,1.81,0.66,0.725,0,3.16,349,12.96764,6,5
Cs2InTlI6,Cs,Tl,In,I,0.819601042,0.728783,1.88,0.922,2.518,0,0.79,45.5,3.8939,12,13,1.84,1.06,1.319,0.584,1.62,9.2,6.1082,15,16,0.8,1.093,1.382,0.483,1.78,28.9,28.03,11,12,2.2,0.876,1.044,0.406,2.66,295.2,10.45126,12,11
Cs2InTlBr6,Cs,Tl,In,Br,0.827832329,1.481819,1.88,0.922,2.518,0,0.79,45.5,3.8939,12,13,1.84,1.06,1.319,0.584,1.62,9.2,6.1082,15,16,0.8,1.093,1.382,0.483,1.78,28.9,28.03,11,12,1.96,0.73,0.851,0.224,2.96,324.6,11.81381,9,8
Cs2PTlCl6,Cs,Tl,P,Cl,0.88448272,1.127775,1.88,0.922,2.518,0,0.79,45.5,3.8939,12,13,1.84,1.06,1.319,0.584,1.62,9.2,6.1082,15,16,0.44,0.803,0.919,0,2.19,71,30.2027,5,6,1.81,0.66,0.725,0,3.16,349,12.96764,6,5
Cs2PTlI6,Cs,Tl,P,I,0.863771158,0.633672,1.88,0.922,2.518,0,0.79,45.5,3.8939,12,13,1.84,1.06,1.319,0.584,1.62,9.2,6.1082,15,16,0.44,0.803,0.919,0,2.19,71,30.2027,5,6,2.2,0.876,1.044,0.406,2.66,295.2,10.45126,12,11
Cs2PTlBr6,Cs,Tl,P,Br,0.875900013,0.777303,1.88,0.922,2.518,0,0.79,45.5,3.8939,12,13,1.84,1.06,1.319,0.584,1.62,9.2,6.1082,15,16,0.44,0.803,0.919,0,2.19,71,30.2027,5,6,1.96,0.73,0.851,0.224,2.96,324.6,11.81381,9,8
