"formula","A","B1","B2","X","tolerance_factor","Eg","irA","rsA","rpA","rdA","XcA","eaA","ipA","hoalA","lualA","irB1","rsB1","rpB1","rdB1","XcB1","eaB1","ipB1","hoalB1","lualB1","irB2","rsB2","rpB2","rdB2","XcB2","eaB2","ipB2","hoalB2","lualB2","irX","rsX","rpX","rdX","XcX","eaX","ipX","hoalX","lualX"
"Cs2AlAgCl6","Cs","Ag","Al","Cl","0.9601560340674736","2.236636","1.88","0.922","2.5180000000000002","0.0","0.79","45.5","3.8939","12","13","1.28","1.286","0.462","0.536","1.93","125.6","7.5762","10","11","0.535","1.044","1.3119999999999998","0.0","1.61","42.5","28.44765","5","6","1.81","0.66","0.725","0.0","3.16","349.0","12.96764","6","5"
"Cs2AlAgBr6","Cs","Ag","Al","Br","0.94691893278338","1.210029","1.88","0.922","2.5180000000000002","0.0","0.79","45.5","3.8939","12","13","1.28","1.286","0.462","0.536","1.93","125.6","7.5762","10","11","0.535","1.044","1.3119999999999998","0.0","1.61","42.5","28.44765","5","6","1.96","0.73","0.851","0.22399999999999998","2.96","324.6","11.81381","9","8"
"Cs2AsAgCl6","Cs","Ag","As","Cl","0.9522715410869926","1.254947","1.88","0.922","2.5180000000000002","0.0","0.79","45.5","3.8939","12","13","1.28","1.286","0.462","0.536","1.93","125.6","7.5762","10","11","0.58","0.826","1.001","0.247","2.18","78.0","28.351","8","9","1.81","0.66","0.725","0.0","3.16","349.0","12.96764","6","5"
"Cs2AsAgBr6","Cs","Ag","As","Br","0.9395467265592882","0.762618","1.88","0.922","2.5180000000000002","0.0","0.79","45.5","3.8939","12","13","1.28","1.286","0.462","0.536","1.93","125.6","7.5762","10","11","0.58","0.826","1.001","0.247","2.18","78.0","28.351","8","9","1.96","0.73","0.851","0.22399999999999998","2.96","324.6","11.81381","9","8"
"Cs2AgBiCl6","Cs","Ag","Bi","Cl","1.0649893969707591","1.802331","1.88","0.922","2.5180000000000002","0.0","0.79","45.5","3.8939","12","13","1.28","1.286","0.462","0.536","1.93","125.6","7.5762","10","11","0.0","0.963","1.295","0.542","2.02","91.2","25.559","15","16","1.81","0.66","0.725","0.0","3.16","349.0","12.96764","6","5"
"Cs2AgBiI6","Cs","Ag","Bi","I","1.0158435448032093","0.80201","1.88","0.922","2.5180000000000002","0.0","0.79","45.5","3.8939","12","13","1.28","1.286","0.462","0.536","1.93","125.6","7.5762","10","11","0.0","0.963","1.295","0.542","2.02","91.2","25.559","15","16","2.2","0.8759999999999999","1.044","0.406","2.66","295.2","10.451260000000001","12","11"
"Cs2AgBiBr6","Cs","Ag","Bi","Br","1.0443423229832085","1.291934","1.88","0.922","2.5180000000000002","0.0","0.79","45.5","3.8939","12","13","1.28","1.286","0.462","0.536","1.93","125.6","7.5762","10","11","0.0","0.963","1.295","0.542","2.02","91.2","25.559","15","16","1.96","0.73","0.851","0.22399999999999998","2.96","324.6","11.81381","9","8"
"Cs2GaAgCl6","Cs","Ag","Ga","Cl","0.9453710226733192","0.989034","1.88","0.922","2.5180000000000002","0.0","0.79","45.5","3.8939","12","13","1.28","1.286","0.462","0.536","1.93","125.6","7.5762","10","11","0.62","0.96","0.298","0.276","1.81","28.9","30.71","8","9","1.81","0.66","0.725","0.0","3.16","349.0","12.96764","6","5"
"Cs2AgInCl6","Cs","Ag","In","Cl","0.9155172009046878","1.010681","1.88","0.922","2.5180000000000002","0.0","0.79","45.5","3.8939","12","13","1.28","1.286","0.462","0.536","1.93","125.6","7.5762","10","11","0.8","1.093","1.382","0.483","1.78","28.9","28.03","11","12","1.81","0.66","0.725","0.0","3.16","349.0","12.96764","6","5"
"Cs2PAgCl6","Cs","Ag","P","Cl","0.9772374616398352","0.909918","1.88","0.922","2.5180000000000002","0.0","0.79","45.5","3.8939","12","13","1.28","1.286","0.462","0.536","1.93","125.6","7.5762","10","11","0.44","0.8029999999999999","0.919","0.0","2.19","71.0","30.2027","5","6","1.81","0.66","0.725","0.0","3.16","349.0","12.96764","6","5"
"Cs2PAgBr6","Cs","Ag","P","Br","0.962868808424235","0.472631","1.88","0.922","2.5180000000000002","0.0","0.79","45.5","3.8939","12","13","1.28","1.286","0.462","0.536","1.93","125.6","7.5762","10","11","0.44","0.8029999999999999","0.919","0.0","2.19","71.0","30.2027","5","6","1.96","0.73","0.851","0.22399999999999998","2.96","324.6","11.81381","9","8"
"Cs2AgSbCl6","Cs","Ag","Sb","Cl","0.9219872871301624","1.334388","1.88","0.922","2.5180000000000002","0.0","0.79","45.5","3.8939","12","13","1.28","1.286","0.462","0.536","1.93","125.6","7.5762","10","11","0.76","0.9690000000000001","1.193","0.44","2.05","103.2","25.3","11","12","1.81","0.66","0.725","0.0","3.16","349.0","12.96764","6","5"
"Cs2AgSbBr6","Cs","Ag","Sb","Br","0.9111711542806518","0.827518","1.88","0.922","2.5180000000000002","0.0","0.79","45.5","3.8939","12","13","1.28","1.286","0.462","0.536","1.93","125.6","7.5762","10","11","0.76","0.9690000000000001","1.193","0.44","2.05","103.2","25.3","11","12","1.96","0.73","0.851","0.22399999999999998","2.96","324.6","11.81381","9","8"
"Cs2ScAgCl6","Cs","Ag","Sc","Cl","0.9244372090623066","3.239524","1.88","0.922","2.5180000000000002","0.0","0.79","45.5","3.8939","12","13","1.28","1.286","0.462","0.536","1.93","125.6","7.5762","10","11","0.745","1.57","0.5","0.539","1.36","18.1","24.75666","7","8","1.81","0.66","0.725","0.0","3.16","349.0","12.96764","6","5"
"Cs2ScAgI6","Cs","Ag","Sc","I","0.8980531259894516","2.040435","1.88","0.922","2.5180000000000002","0.0","0.79","45.5","3.8939","12","13","1.28","1.286","0.462","0.536","1.93","125.6","7.5762","10","11","0.745","1.57","0.5","0.539","1.36","18.1","24.75666","7","8","2.2","0.8759999999999999","1.044","0.406","2.66","295.2","10.451260000000001","12","11"
"Cs2ScAgBr6","Cs","Ag","Sc","Br","0.9134701563520076","2.72144","1.88","0.922","2.5180000000000002","0.0","0.79","45.5","3.8939","12","13","1.28","1.286","0.462","0.536","1.93","125.6","7.5762","10","11","0.745","1.57","0.5","0.539","1.36","18.1","24.75666","7","8","1.96","0.73","0.851","0.22399999999999998","2.96","324.6","11.81381","9","8"
"Cs2YAgCl6","Cs","Ag","Y","Cl","0.8997324215787448","3.758064","1.88","0.922","2.5180000000000002","0.0","0.79","45.5","3.8939","12","13","1.28","1.286","0.462","0.536","1.93","125.6","7.5762","10","11","0.9","1.693","0.6459999999999999","0.865","1.22","29.6","20.52","10","11","1.81","0.66","0.725","0.0","3.16","349.0","12.96764","6","5"
"Cs2YAgI6","Cs","Ag","Y","I","0.8768983791006425","2.512309","1.88","0.922","2.5180000000000002","0.0","0.79","45.5","3.8939","12","13","1.28","1.286","0.462","0.536","1.93","125.6","7.5762","10","11","0.9","1.693","0.6459999999999999","0.865","1.22","29.6","20.52","10","11","2.2","0.8759999999999999","1.044","0.406","2.66","295.2","10.451260000000001","12","11"
"Cs2YAgBr6","Cs","Ag","Y","Br","0.8902590294283089","3.215399","1.88","0.922","2.5180000000000002","0.0","0.79","45.5","3.8939","12","13","1.28","1.286","0.462","0.536","1.93","125.6","7.5762","10","11","0.9","1.693","0.6459999999999999","0.865","1.22","29.6","20.52","10","11","1.96","0.73","0.851","0.22399999999999998","2.96","324.6","11.81381","9","8"
"Cs2AuBiCl6","Cs","Au","Bi","Cl","1.0457811713740923","0.616081","1.88","0.922","2.5180000000000002","0.0","0.79","45.5","3.8939","12","13","1.37","1.187","0.51","0.634","2.54","222.8","9.2255","14","15","0.0","0.963","1.295","0.542","2.02","91.2","25.559","15","16","1.81","0.66","0.725","0.0","3.16","349.0","12.96764","6","5"
"Cs2ScAuCl6","Cs","Au","Sc","Cl","0.9099299119715292","1.870166","1.88","0.922","2.5180000000000002","0.0","0.79","45.5","3.8939","12","13","1.37","1.187","0.51","0.634","2.54","222.8","9.2255","14","15","0.745","1.57","0.5","0.539","1.36","18.1","24.75666","7","8","1.81","0.66","0.725","0.0","3.16","349.0","12.96764","6","5"
"Cs2ScAuI6","Cs","Au","Sc","I","0.8856471733664201","1.059449","1.88","0.922","2.5180000000000002","0.0","0.79","45.5","3.8939","12","13","1.37","1.187","0.51","0.634","2.54","222.8","9.2255","14","15","0.745","1.57","0.5","0.539","1.36","18.1","24.75666","7","8","2.2","0.8759999999999999","1.044","0.406","2.66","295.2","10.451260000000001","12","11"
"Cs2ScAuBr6","Cs","Au","Sc","Br","0.8998475690990364","1.559538","1.88","0.922","2.5180000000000002","0.0","0.79","45.5","3.8939","12","13","1.37","1.187","0.51","0.634","2.54","222.8","9.2255","14","15","0.745","1.57","0.5","0.539","1.36","18.1","24.75666","7","8","1.96","0.73","0.851","0.22399999999999998","2.96","324.6","11.81381","9","8"
"Cs2YAuCl6","Cs","Au","Y","Cl","0.8859843879722784","2.114347","1.88","0.922","2.5180000000000002","0.0","0.79","45.5","3.8939","12","13","1.37","1.187","0.51","0.634","2.54","222.8","9.2255","14","15","0.9","1.693","0.6459999999999999","0.865","1.22","29.6","20.52","10","11","1.81","0.66","0.725","0.0","3.16","349.0","12.96764","6","5"
"Cs2YAuI6","Cs","Au","Y","I","0.8650661670887898","1.176587","1.88","0.922","2.5180000000000002","0.0","0.79","45.5","3.8939","12","13","1.37","1.187","0.51","0.634","2.54","222.8","9.2255","14","15","0.9","1.693","0.6459999999999999","0.865","1.22","29.6","20.52","10","11","2.2","0.8759999999999999","1.044","0.406","2.66","295.2","10.451260000000001","12","11"
"Cs2YAuBr6","Cs","Au","Y","Br","0.8773150370779782","1.70308","1.88","0.922","2.5180000000000002","0.0","0.79","45.5","3.8939","12","13","1.37","1.187","0.51","0.634","2.54","222.8","9.2255","14","15","0.9","1.693","0.6459999999999999","0.865","1.22","29.6","20.52","10","11","1.96","0.73","0.851","0.22399999999999998","2.96","324.6","11.81381","9","8"
"Cs2CaRuCl6","Cs","Ca","Ru","Cl","0.9252567455951629","0.952437","1.88","0.922","2.5180000000000002","0.0","0.79","45.5","3.8939","12","13","1.34","1.69","0.539","0.0","1.0","2.37","6.11316","6","7","0.68","1.41","0.515","0.622","2.2","101.3","28.47","10","11","1.81","0.66","0.725","0.0","3.16","349.0","12.96764","6","5"
"Cs2CaRuBr6","Cs","Ca","Ru","Br","0.9142390706250312","0.667901","1.88","0.922","2.5180000000000002","0.0","0.79","45.5","3.8939","12","13","1.34","1.69","0.539","0.0","1.0","2.37","6.11316","6","7","0.68","1.41","0.515","0.622","2.2","101.3","28.47","10","11","1.96","0.73","0.851","0.22399999999999998","2.96","324.6","11.81381","9","8"
"Cs2AlCuCl6","Cs","Cu","Al","Cl","1.0595833594226842","0.641622","1.88","0.922","2.5180000000000002","0.0","0.79","45.5","3.8939","12","13","0.77","1.1909999999999998","0.325","0.312","1.9","118.4","7.726380000000001","7","8","0.535","1.044","1.3119999999999998","0.0","1.61","42.5","28.44765","5","6","1.81","0.66","0.725","0.0","3.16","349.0","12.96764","6","5"
"Cs2CuAsCl6","Cs","Cu","As","Cl","1.049989546309199","0.54283","1.88","0.922","2.5180000000000002","0.0","0.79","45.5","3.8939","12","13","0.77","1.1909999999999998","0.325","0.312","1.9","118.4","7.726380000000001","7","8","0.58","0.826","1.001","0.247","2.18","78.0","28.351","8","9","1.81","0.66","0.725","0.0","3.16","349.0","12.96764","6","5"
"Cs2CuBiCl6","Cs","Cu","Bi","Cl","1.1887125387600728","0.923001","1.88","0.922","2.5180000000000002","0.0","0.79","45.5","3.8939","12","13","0.77","1.1909999999999998","0.325","0.312","1.9","118.4","7.726380000000001","7","8","0.0","0.963","1.295","0.542","2.02","91.2","25.559","15","16","1.81","0.66","0.725","0.0","3.16","349.0","12.96764","6","5"
"Cs2CuBiBr6","Cs","Cu","Bi","Br","1.1579062003225342","0.625517","1.88","0.922","2.5180000000000002","0.0","0.79","45.5","3.8939","12","13","0.77","1.1909999999999998","0.325","0.312","1.9","118.4","7.726380000000001","7","8","0.0","0.963","1.295","0.542","2.02","91.2","25.559","15","16","1.96","0.73","0.851","0.22399999999999998","2.96","324.6","11.81381","9","8"
"Cs2CuSbCl6","Cs","Cu","Sb","Cl","1.0132908825547031","0.656349","1.88","0.922","2.5180000000000002","0.0","0.79","45.5","3.8939","12","13","0.77","1.1909999999999998","0.325","0.312","1.9","118.4","7.726380000000001","7","8","0.76","0.9690000000000001","1.193","0.44","2.05","103.2","25.3","11","12","1.81","0.66","0.725","0.0","3.16","349.0","12.96764","6","5"
"Cs2ScCuCl6","Cs","Cu","Sc","Cl","1.0162508364472678","1.833585","1.88","0.922","2.5180000000000002","0.0","0.79","45.5","3.8939","12","13","0.77","1.1909999999999998","0.325","0.312","1.9","118.4","7.726380000000001","7","8","0.745","1.57","0.5","0.539","1.36","18.1","24.75666","7","8","1.81","0.66","0.725","0.0","3.16","349.0","12.96764","6","5"
"Cs2ScCuI6","Cs","Cu","Sc","I","0.9754845874018979","1.464804","1.88","0.922","2.5180000000000002","0.0","0.79","45.5","3.8939","12","13","0.77","1.1909999999999998","0.325","0.312","1.9","118.4","7.726380000000001","7","8","0.745","1.57","0.5","0.539","1.36","18.1","24.75666","7","8","2.2","0.8759999999999999","1.044","0.406","2.66","295.2","10.451260000000001","12","11"
"Cs2ScCuBr6","Cs","Cu","Sc","Br","0.9991867671596476","1.687355","1.88","0.922","2.5180000000000002","0.0","0.79","45.5","3.8939","12","13","0.77","1.1909999999999998","0.325","0.312","1.9","118.4","7.726380000000001","7","8","0.745","1.57","0.5","0.539","1.36","18.1","24.75666","7","8","1.96","0.73","0.851","0.22399999999999998","2.96","324.6","11.81381","9","8"
"Cs2CuYCl6","Cs","Cu","Y","Cl","0.9864741106156372","2.465706","1.88","0.922","2.5180000000000002","0.0","0.79","45.5","3.8939","12","13","0.77","1.1909999999999998","0.325","0.312","1.9","118.4","7.726380000000001","7","8","0.9","1.693","0.6459999999999999","0.865","1.22","29.6","20.52","10","11","1.81","0.66","0.725","0.0","3.16","349.0","12.96764","6","5"
"Cs2CuYI6","Cs","Cu","Y","I","0.9505751786626404","1.756031","1.88","0.922","2.5180000000000002","0.0","0.79","45.5","3.8939","12","13","0.77","1.1909999999999998","0.325","0.312","1.9","118.4","7.726380000000001","7","8","0.9","1.693","0.6459999999999999","0.865","1.22","29.6","20.52","10","11","2.2","0.8759999999999999","1.044","0.406","2.66","295.2","10.451260000000001","12","11"
"Cs2CuYBr6","Cs","Cu","Y","Br","0.9714812306820544","2.144473","1.88","0.922","2.5180000000000002","0.0","0.79","45.5","3.8939","12","13","0.77","1.1909999999999998","0.325","0.312","1.9","118.4","7.726380000000001","7","8","0.9","1.693","0.6459999999999999","0.865","1.22","29.6","20.52","10","11","1.96","0.73","0.851","0.22399999999999998","2.96","324.6","11.81381","9","8"
"Cs2AlCuCl6","Cs","Cu","Al","Cl","1.0682595793565446","0.641622","1.88","0.922","2.5180000000000002","0.0","0.79","45.5","3.8939","12","13","0.73","1.1909999999999998","0.325","0.312","1.9","118.4","7.726380000000001","7","8","0.535","1.044","1.3119999999999998","0.0","1.61","42.5","28.44765","5","6","1.81","0.66","0.725","0.0","3.16","349.0","12.96764","6","5"
