"formula","A","B1","B2","X","tolerance_factor","Eg","irA","rsA","rpA","rdA","XcA","eaA","ipA","hoalA","lualA","irB1","rsB1","rpB1","rdB1","XcB1","eaB1","ipB1","hoalB1","lualB1","irB2","rsB2","rpB2","rdB2","XcB2","eaB2","ipB2","hoalB2","lualB2","irX","rsX","rpX","rdX","XcX","eaX","ipX","hoalX","lualX"
"Cs2CuAsCl6","Cs","Cu","As","Cl","1.0585087312691115","0.54283","1.88","0.922","2.5180000000000002","0.0","0.79","45.5","3.8939","12","13","0.73","1.1909999999999998","0.325","0.312","1.9","118.4","7.726380000000001","7","8","0.58","0.826","1.001","0.247","2.18","78.0","28.351","8","9","1.81","0.66","0.725","0.0","3.16","349.0","12.96764","6","5"
"Cs2CuBiCl6","Cs","Cu","Bi","Cl","1.19964322877166","0.923001","1.88","0.922","2.5180000000000002","0.0","0.79","45.5","3.8939","12","13","0.73","1.1909999999999998","0.325","0.312","1.9","118.4","7.726380000000001","7","8","0.0","0.963","1.295","0.542","2.02","91.2","25.559","15","16","1.81","0.66","0.725","0.0","3.16","349.0","12.96764","6","5"
"Cs2CuBiBr6","Cs","Cu","Bi","Br","1.1678666837661686","0.625517","1.88","0.922","2.5180000000000002","0.0","0.79","45.5","3.8939","12","13","0.73","1.1909999999999998","0.325","0.312","1.9","118.4","7.726380000000001","7","8","0.0","0.963","1.295","0.542","2.02","91.2","25.559","15","16","1.96","0.73","0.851","0.22399999999999998","2.96","324.6","11.81381","9","8"
"Cs2CuSbCl6","Cs","Cu","Sb","Cl","1.0212227094240156","0.656349","1.88","0.922","2.5180000000000002","0.0","0.79","45.5","3.8939","12","13","0.73","1.1909999999999998","0.325","0.312","1.9","118.4","7.726380000000001","7","8","0.76","0.9690000000000001","1.193","0.44","2.05","103.2","25.3","11","12","1.81","0.66","0.725","0.0","3.16","349.0","12.96764","6","5"
"Cs2ScCuCl6","Cs","Cu","Sc","Cl","1.024229253220161","1.833585","1.88","0.922","2.5180000000000002","0.0","0.79","45.5","3.8939","12","13","0.73","1.1909999999999998","0.325","0.312","1.9","118.4","7.726380000000001","7","8","0.745","1.57","0.5","0.539","1.36","18.1","24.75666","7","8","1.81","0.66","0.725","0.0","3.16","349.0","12.96764","6","5"
"Cs2ScCuI6","Cs","Cu","Sc","I","0.9821261845927196","1.464804","1.88","0.922","2.5180000000000002","0.0","0.79","45.5","3.8939","12","13","0.73","1.1909999999999998","0.325","0.312","1.9","118.4","7.726380000000001","7","8","0.745","1.57","0.5","0.539","1.36","18.1","24.75666","7","8","2.2","0.8759999999999999","1.044","0.406","2.66","295.2","10.451260000000001","12","11"
"Cs2ScCuBr6","Cs","Cu","Sc","Br","1.0065950101042975","1.687355","1.88","0.922","2.5180000000000002","0.0","0.79","45.5","3.8939","12","13","0.73","1.1909999999999998","0.325","0.312","1.9","118.4","7.726380000000001","7","8","0.745","1.57","0.5","0.539","1.36","18.1","24.75666","7","8","1.96","0.73","0.851","0.22399999999999998","2.96","324.6","11.81381","9","8"
"Cs2CuYCl6","Cs","Cu","Y","Cl","0.9939901038393752","2.465706","1.88","0.922","2.5180000000000002","0.0","0.79","45.5","3.8939","12","13","0.73","1.1909999999999998","0.325","0.312","1.9","118.4","7.726380000000001","7","8","0.9","1.693","0.6459999999999999","0.865","1.22","29.6","20.52","10","11","1.81","0.66","0.725","0.0","3.16","349.0","12.96764","6","5"
"Cs2CuYI6","Cs","Cu","Y","I","0.956880818322094","1.756031","1.88","0.922","2.5180000000000002","0.0","0.79","45.5","3.8939","12","13","0.73","1.1909999999999998","0.325","0.312","1.9","118.4","7.726380000000001","7","8","0.9","1.693","0.6459999999999999","0.865","1.22","29.6","20.52","10","11","2.2","0.8759999999999999","1.044","0.406","2.66","295.2","10.451260000000001","12","11"
"Cs2CuYBr6","Cs","Cu","Y","Br","0.9784828972094928","2.144473","1.88","0.922","2.5180000000000002","0.0","0.79","45.5","3.8939","12","13","0.73","1.1909999999999998","0.325","0.312","1.9","118.4","7.726380000000001","7","8","0.9","1.693","0.6459999999999999","0.865","1.22","29.6","20.52","10","11","1.96","0.73","0.851","0.22399999999999998","2.96","324.6","11.81381","9","8"
"Cs2AlTlCl6","Cs","Tl","Al","Cl","0.8704667298009542","3.742092","1.88","0.922","2.5180000000000002","0.0","0.79","45.5","3.8939","12","13","1.84","1.06","1.319","0.584","1.62","9.2","6.1082","15","16","0.535","1.044","1.3119999999999998","0.0","1.61","42.5","28.44765","5","6","1.81","0.66","0.725","0.0","3.16","349.0","12.96764","6","5"
"Cs2AlTlI6","Cs","Tl","Al","I","0.8516592375619524","1.525695","1.88","0.922","2.5180000000000002","0.0","0.79","45.5","3.8939","12","13","1.84","1.06","1.319","0.584","1.62","9.2","6.1082","15","16","0.535","1.044","1.3119999999999998","0.0","1.61","42.5","28.44765","5","6","2.2","0.8759999999999999","1.044","0.406","2.66","295.2","10.451260000000001","12","11"
"Cs2AlTlBr6","Cs","Tl","Al","Br","0.8626815058796956","2.665001","1.88","0.922","2.5180000000000002","0.0","0.79","45.5","3.8939","12","13","1.84","1.06","1.319","0.584","1.62","9.2","6.1082","15","16","0.535","1.044","1.3119999999999998","0.0","1.61","42.5","28.44765","5","6","1.96","0.73","0.851","0.22399999999999998","2.96","324.6","11.81381","9","8"
"Cs2AsTlCl6","Cs","Tl","As","Cl","0.8639814644299205","1.466505","1.88","0.922","2.5180000000000002","0.0","0.79","45.5","3.8939","12","13","1.84","1.06","1.319","0.584","1.62","9.2","6.1082","15","16","0.58","0.826","1.001","0.247","2.18","78.0","28.351","8","9","1.81","0.66","0.725","0.0","3.16","349.0","12.96764","6","5"
"Cs2AsTlI6","Cs","Tl","As","I","0.8460397851146959","0.818272","1.88","0.922","2.5180000000000002","0.0","0.79","45.5","3.8939","12","13","1.84","1.06","1.319","0.584","1.62","9.2","6.1082","15","16","0.58","0.826","1.001","0.247","2.18","78.0","28.351","8","9","2.2","0.8759999999999999","1.044","0.406","2.66","295.2","10.451260000000001","12","11"
"Cs2AsTlBr6","Cs","Tl","As","Br","0.856558372162884","0.974912","1.88","0.922","2.5180000000000002","0.0","0.79","45.5","3.8939","12","13","1.84","1.06","1.319","0.584","1.62","9.2","6.1082","15","16","0.58","0.826","1.001","0.247","2.18","78.0","28.351","8","9","1.96","0.73","0.851","0.22399999999999998","2.96","324.6","11.81381","9","8"
"Cs2TlBiCl6","Cs","Tl","Bi","Cl","0.9557597152301686","1.947616","1.88","0.922","2.5180000000000002","0.0","0.79","45.5","3.8939","12","13","1.84","1.06","1.319","0.584","1.62","9.2","6.1082","15","16","0.0","0.963","1.295","0.542","2.02","91.2","25.559","15","16","1.81","0.66","0.725","0.0","3.16","349.0","12.96764","6","5"
"Cs2TlBiI6","Cs","Tl","Bi","I","0.924678098474716","1.19652","1.88","0.922","2.5180000000000002","0.0","0.79","45.5","3.8939","12","13","1.84","1.06","1.319","0.584","1.62","9.2","6.1082","15","16","0.0","0.963","1.295","0.542","2.02","91.2","25.559","15","16","2.2","0.8759999999999999","1.044","0.406","2.66","295.2","10.451260000000001","12","11"
"Cs2TlBiBr6","Cs","Tl","Bi","Br","0.9428090415820634","1.412008","1.88","0.922","2.5180000000000002","0.0","0.79","45.5","3.8939","12","13","1.84","1.06","1.319","0.584","1.62","9.2","6.1082","15","16","0.0","0.963","1.295","0.542","2.02","91.2","25.559","15","16","1.96","0.73","0.851","0.22399999999999998","2.96","324.6","11.81381","9","8"
"Cs2CoTlCl6","Cs","Tl","Co","Cl","0.8690171598928759","0.860913","1.88","0.922","2.5180000000000002","0.0","0.79","45.5","3.8939","12","13","1.84","1.06","1.319","0.584","1.62","9.2","6.1082","15","16","0.545","1.181","0.355","0.0","1.88","118.4","33.5","7","8","1.81","0.66","0.725","0.0","3.16","349.0","12.96764","6","5"
"Cs2CoTlI6","Cs","Tl","Co","I","0.850404028663556","0.65346","1.88","0.922","2.5180000000000002","0.0","0.79","45.5","3.8939","12","13","1.84","1.06","1.319","0.584","1.62","9.2","6.1082","15","16","0.545","1.181","0.355","0.0","1.88","118.4","33.5","7","8","2.2","0.8759999999999999","1.044","0.406","2.66","295.2","10.451260000000001","12","11"
"Cs2CoTlBr6","Cs","Tl","Co","Br","0.8613132560686255","0.706823","1.88","0.922","2.5180000000000002","0.0","0.79","45.5","3.8939","12","13","1.84","1.06","1.319","0.584","1.62","9.2","6.1082","15","16","0.545","1.181","0.355","0.0","1.88","118.4","33.5","7","8","1.96","0.73","0.851","0.22399999999999998","2.96","324.6","11.81381","9","8"
"Cs2GaTlCl6","Cs","Tl","Ga","Cl","0.8582973758481447","2.360962","1.88","0.922","2.5180000000000002","0.0","0.79","45.5","3.8939","12","13","1.84","1.06","1.319","0.584","1.62","9.2","6.1082","15","16","0.62","0.96","0.298","0.276","1.81","28.9","30.71","8","9","1.81","0.66","0.725","0.0","3.16","349.0","12.96764","6","5"
"Cs2GaTlBr6","Cs","Tl","Ga","Br","0.8511881002370979","1.376078","1.88","0.922","2.5180000000000002","0.0","0.79","45.5","3.8939","12","13","1.84","1.06","1.319","0.584","1.62","9.2","6.1082","15","16","0.62","0.96","0.298","0.276","1.81","28.9","30.71","8","9","1.96","0.73","0.851","0.22399999999999998","2.96","324.6","11.81381","9","8"
"Cs2InTlCl6","Cs","Tl","In","Cl","0.8336178985873356","2.330854","1.88","0.922","2.5180000000000002","0.0","0.79","45.5","3.8939","12","13","1.84","1.06","1.319","0.584","1.62","9.2","6.1082","15","16","0.8","1.093","1.382","0.483","1.78","28.9","28.03","11","12","1.81","0.66","0.725","0.0","3.16","349.0","12.96764","6","5"
"Cs2InTlI6","Cs","Tl","In","I","0.8196010418298617","0.728783","1.88","0.922","2.5180000000000002","0.0","0.79","45.5","3.8939","12","13","1.84","1.06","1.319","0.584","1.62","9.2","6.1082","15","16","0.8","1.093","1.382","0.483","1.78","28.9","28.03","11","12","2.2","0.8759999999999999","1.044","0.406","2.66","295.2","10.451260000000001","12","11"
"Cs2InTlBr6","Cs","Tl","In","Br","0.8278323291940067","1.481819","1.88","0.922","2.5180000000000002","0.0","0.79","45.5","3.8939","12","13","1.84","1.06","1.319","0.584","1.62","9.2","6.1082","15","16","0.8","1.093","1.382","0.483","1.78","28.9","28.03","11","12","1.96","0.73","0.851","0.22399999999999998","2.96","324.6","11.81381","9","8"
"Cs2PTlCl6","Cs","Tl","P","Cl","0.8844827195180881","1.127775","1.88","0.922","2.5180000000000002","0.0","0.79","45.5","3.8939","12","13","1.84","1.06","1.319","0.584","1.62","9.2","6.1082","15","16","0.44","0.8029999999999999","0.919","0.0","2.19","71.0","30.2027","5","6","1.81","0.66","0.725","0.0","3.16","349.0","12.96764","6","5"
"Cs2PTlI6","Cs","Tl","P","I","0.8637711578566208","0.633672","1.88","0.922","2.5180000000000002","0.0","0.79","45.5","3.8939","12","13","1.84","1.06","1.319","0.584","1.62","9.2","6.1082","15","16","0.44","0.8029999999999999","0.919","0.0","2.19","71.0","30.2027","5","6","2.2","0.8759999999999999","1.044","0.406","2.66","295.2","10.451260000000001","12","11"
"Cs2PTlBr6","Cs","Tl","P","Br","0.8759000128246265","0.777303","1.88","0.922","2.5180000000000002","0.0","0.79","45.5","3.8939","12","13","1.84","1.06","1.319","0.584","1.62","9.2","6.1082","15","16","0.44","0.8029999999999999","0.919","0.0","2.19","71.0","30.2027","5","6","1.96","0.73","0.851","0.22399999999999998","2.96","324.6","11.81381","9","8"
"Cs2RhTlCl6","Cs","Tl","Rh","Cl","0.8519915175766074","1.387096","1.88","0.922","2.5180000000000002","0.0","0.79","45.5","3.8939","12","13","1.84","1.06","1.319","0.584","1.62","9.2","6.1082","15","16","0.665","1.364","0.496","0.589","2.28","109.7","31.06","10","11","1.81","0.66","0.725","0.0","3.16","349.0","12.96764","6","5"
"Cs2RhTlI6","Cs","Tl","Rh","I","0.8356251027490553","1.053825","1.88","0.922","2.5180000000000002","0.0","0.79","45.5","3.8939","12","13","1.84","1.06","1.319","0.584","1.62","9.2","6.1082","15","16","0.665","1.364","0.496","0.589","2.28","109.7","31.06","10","11","2.2","0.8759999999999999","1.044","0.406","2.66","295.2","10.451260000000001","12","11"
"Cs2RhTlBr6","Cs","Tl","Rh","Br","0.845226471519484","1.152501","1.88","0.922","2.5180000000000002","0.0","0.79","45.5","3.8939","12","13","1.84","1.06","1.319","0.584","1.62","9.2","6.1082","15","16","0.665","1.364","0.496","0.589","2.28","109.7","31.06","10","11","1.96","0.73","0.851","0.22399999999999998","2.96","324.6","11.81381","9","8"
"Cs2SbTlCl6","Cs","Tl","Sb","Cl","0.8389787853949711","1.41519","1.88","0.922","2.5180000000000002","0.0","0.79","45.5","3.8939","12","13","1.84","1.06","1.319","0.584","1.62","9.2","6.1082","15","16","0.76","0.9690000000000001","1.193","0.44","2.05","103.2","25.3","11","12","1.81","0.66","0.725","0.0","3.16","349.0","12.96764","6","5"
"Cs2SbTlI6","Cs","Tl","Sb","I","0.8242844763546041","0.739684","1.88","0.922","2.5180000000000002","0.0","0.79","45.5","3.8939","12","13","1.84","1.06","1.319","0.584","1.62","9.2","6.1082","15","16","0.76","0.9690000000000001","1.193","0.44","2.05","103.2","25.3","11","12","2.2","0.8759999999999999","1.044","0.406","2.66","295.2","10.451260000000001","12","11"
"Cs2SbTlBr6","Cs","Tl","Sb","Br","0.8329110551399823","0.905224","1.88","0.922","2.5180000000000002","0.0","0.79","45.5","3.8939","12","13","1.84","1.06","1.319","0.584","1.62","9.2","6.1082","15","16","0.76","0.9690000000000001","1.193","0.44","2.05","103.2","25.3","11","12","1.96","0.73","0.851","0.22399999999999998","2.96","324.6","11.81381","9","8"
"Cs2ScTlCl6","Cs","Tl","Sc","Cl","0.8410069371727188","3.299663","1.88","0.922","2.5180000000000002","0.0","0.79","45.5","3.8939","12","13","1.84","1.06","1.319","0.584","1.62","9.2","6.1082","15","16","0.745","1.57","0.5","0.539","1.36","18.1","24.75666","7","8","1.81","0.66","0.725","0.0","3.16","349.0","12.96764","6","5"
"Cs2ScTlI6","Cs","Tl","Sc","I","0.8260545933403332","2.303389","1.88","0.922","2.5180000000000002","0.0","0.79","45.5","3.8939","12","13","1.84","1.06","1.319","0.584","1.62","9.2","6.1082","15","16","0.745","1.57","0.5","0.539","1.36","18.1","24.75666","7","8","2.2","0.8759999999999999","1.044","0.406","2.66","295.2","10.451260000000001","12","11"
"Cs2ScTlBr6","Cs","Tl","Sc","Br","0.8348316801710507","2.755112","1.88","0.922","2.5180000000000002","0.0","0.79","45.5","3.8939","12","13","1.84","1.06","1.319","0.584","1.62","9.2","6.1082","15","16","0.745","1.57","0.5","0.539","1.36","18.1","24.75666","7","8","1.96","0.73","0.851","0.22399999999999998","2.96","324.6","11.81381","9","8"
"Cs2YTlCl6","Cs","Tl","Y","Cl","0.8205106989240125","4.044478","1.88","0.922","2.5180000000000002","0.0","0.79","45.5","3.8939","12","13","1.84","1.06","1.319","0.584","1.62","9.2","6.1082","15","16","0.9","1.693","0.6459999999999999","0.865","1.22","29.6","20.52","10","11","1.81","0.66","0.725","0.0","3.16","349.0","12.96764","6","5"
"Cs2YTlI6","Cs","Tl","Y","I","0.8081220356417684","2.933384","1.88","0.922","2.5180000000000002","0.0","0.79","45.5","3.8939","12","13","1.84","1.06","1.319","0.584","1.62","9.2","6.1082","15","16","0.9","1.693","0.6459999999999999","0.865","1.22","29.6","20.52","10","11","2.2","0.8759999999999999","1.044","0.406","2.66","295.2","10.451260000000001","12","11"
"Cs2YTlBr6","Cs","Tl","Y","Br","0.8154024143412439","3.452942","1.88","0.922","2.5180000000000002","0.0","0.79","45.5","3.8939","12","13","1.84","1.06","1.319","0.584","1.62","9.2","6.1082","15","16","0.9","1.693","0.6459999999999999","0.865","1.22","29.6","20.52","10","11","1.96","0.73","0.851","0.22399999999999998","2.96","324.6","11.81381","9","8"
